player_name,country_birth,country_fifa
Marco Bizot,Netherlands,Netherlands
David Guzmán,Costa Rica,Costa Rica
Henry Bonello,Malta,Malta
Steve Borg,Malta,Malta
Jesús Corona,Mexico,Mexico
Pontus Jansson,Sweden,Sweden
Pavel Matyash,UdSSR,Kyrgyzstan
Sargis Adamyan,Armenia,Armenia
Antoine Griezmann,France,France
Mirlan Murzaev,UdSSR,Kyrgyzstan
Craig Gordon,Scotland,Scotland
Leandro Bacuna,Netherlands,Curacao
Alberto Quintero,Panama,Panama
Jernade Meade,England,Montserrat
Mathew Leckie,Australia,Australia
Cristian Martínez,Andorra,Andorra
Artak Grigoryan,UdSSR,Armenia
Hakan Calhanoglu,Germany,Turkey
Egidijus Vaitkunas,UdSSR,Lithuania
Sean Johnson,United States,United States
Young-gwon Kim,"Korea, South","Korea, South"
Lucas Digne,France,France
Idrissa Gueye,Senegal,Senegal
Ali Ahamada,France,Comoros
Dimitry Caloin,France,Madagascar
Leonel Moreira,Costa Rica,Costa Rica
Serge Aurier,Cote d'Ivoire,Cote d'Ivoire
Geraldo,Angola,Angola
Geoffrey Kondogbia,France,Central African Republic
Matz Sels,Belgium,Belgium
Guilherme,Brazil,Malaysia
Omar Jama,Finland,Somalia
Mohamed Bassam,Egypt,Egypt
Sandzhar Kuvvatov,UdSSR,Uzbekistan
Petros Mantalos,Greece,Greece
Álvaro Morata,Spain,Spain
Robbie Brady,Ireland,Ireland
Aaron Pierre,England,Grenada
Marama Amau,,Tahiti
Teave Teamotuaitau,,Tahiti
Esteban Alvarado,Costa Rica,Costa Rica
Johnny Leverón,Honduras,Honduras
Marlon Licona,Honduras,Honduras
Teaonui Tehau,Tahiti,Tahiti
Conor Coady,England,England
Liam Moore,England,Jamaica
Ravel Morrison,England,Jamaica
Stanley Atani,Tahiti,Tahiti
Mathew Ryan,Australia,Australia
Alexandru Maxim,Romania,Romania
Steven Berghuis,Netherlands,Netherlands
Dennis Praet,Belgium,Belgium
Jan Boril,CSSR,Czech Republic
Gaku Shibasaki,Japan,Japan
Eitan Tibi,Israel,Israel
Michalis Bakakis,Greece,Greece
Jordan Pickford,England,England
Hördur Magnússon,Iceland,Iceland
Alessandro Florenzi,Italy,Italy
Abel Gigli,Italy,Somalia
Gianluca Lapadula,Italy,Peru
Giannelli Imbula,Belgium,DR Congo
Stuart Armstrong,Scotland,Scotland
Francesco Acerbi,Italy,Italy
Stefan Medina,Colombia,Colombia
Zeca,Portugal,Greece
Eriq Zavaleta,United States,El Salvador
Nicolás Tagliafico,Argentina,Argentina
Joel Campbell,Costa Rica,Costa Rica
Alexander López,Honduras,Honduras
Serge Nyuiadzi,Togo,Togo
Nikolai Alho,Finland,Finland
Jesse Joronen,Finland,Finland
Roberto Firmino,Brazil,Brazil
Thomas Lam,Netherlands,Finland
Jere Uronen,Finland,Finland
Majed Hassan,,United Arab Emirates
Daniel O'Shaughnessy,Finland,Finland
Patrick Malo,Burkina Faso,Burkina Faso
Bertrand Traoré,Burkina Faso,Burkina Faso
Harry Kane,England,England
Josh Parker,England,Antigua and Barbuda
Jean Paul Farrugia,,Malta
Kaveh Rezaei,Iran,Iran
Morteza Pouraliganji,Iran,Iran
Tim Sparv,Finland,Finland
Fotis Papoulis,Greece,Cyprus
Ali Maâloul,Tunisia,Tunisia
Atef Dkhili,,Tunisia
Marten de Roon,Netherlands,Netherlands
Artur Pikk,Estonia,Estonia
Marc García,Andorra,Andorra
Karim Ansarifard,Iran,Iran
Sergey Maliy,UdSSR,Kazakhstan
Lorenzo Insigne,Italy,Italy
Vasil Bozhikov,Bulgaria,Bulgaria
Hallam Hope,England,Barbados
Raheem Sterling,Jamaica,England
Blair Turgott,England,Jamaica
Mohamed El Shenawy,Egypt,Egypt
Helder Tavares,Portugal,Cape Verde
André Carrillo,Peru,Peru
Rogelio Funes Mori,Argentina,Mexico
Fabian Schär,Switzerland,Switzerland
Cristian Brolli,San Marino,San Marino
Enrico Golinucci,,San Marino
Vadim Rata,Moldova,Moldova
Fredrik Midtsjö,Norway,Norway
Jonas Svensson,Norway,Norway
Omar Beckles,England,Grenada
Aziz Behich,Australia,Australia
Emin Mahmudov,Azerbaijan,Azerbaijan
Magomed Ozdoev,Russia,Russia
Jonathan Buatu,Belgium,Angola
Ahmed Al Khamri,Yemen,Yemen
Hans Vanaken,Belgium,Belgium
Okay Yokuslu,Turkey,Turkey
William Tesillo,Colombia,Colombia
Tornike Okriashvili,Georgia,Georgia
Haris Belkebla,France,Algeria
Trong Hoang Nguyen,Vietnam,Vietnam
Patrick Reichelt,Germany,Philippines
Ibrahima Conté,Guinea,Guinea
Achraf Lazaar,Morocco,Morocco
Gevaro Nepomuceno,Netherlands,Curacao
Karol Mets,Estonia,Estonia
Enner Valencia,Ecuador,Ecuador
Robert Arboleda,Ecuador,Ecuador
Fernando Aristeguieta,Venezuela,Venezuela
Ericson,Cape Verde,Cape Verde
Andrew Abba,Solomon Islands,Solomon Islands
Lei Wu,China,China
Linpeng Zhang,China,China
Florentin Pogba,Guinea,Guinea
Fedor Chernykh,UdSSR,Lithuania
Martin Boyle,Scotland,Australia
Ofir Davidzada,Israel,Israel
Maksim Volodjko,Belarus,Belarus
Yannick Carrasco,Belgium,Belgium
Caio Canedo,Brazil,United Arab Emirates
Danilo Pereira,Guinea-Bissau,Portugal
Jérôme Mombris,France,Madagascar
Luis Rodríguez,Mexico,Mexico
Hung-Fai Yapp,United Kingdom,Hongkong
Pepe,Brazil,Portugal
Rohan Ince,England,Montserrat
George Saville,England,Northern Ireland
Tamás Cseri,Hungary,Hungary
Ali Al-Hassan,,Saudi Arabia
Igor Costrov,UdSSR,Moldova
Marcelo Djaló,Spain,Guinea-Bissau
Joel Johnson,Spain,Liberia
Kwang-Il Ri,"Korea, North","Korea, North"
Willy Boly,France,Cote d'Ivoire
Anderson Santamaría,Peru,Peru
Stefan Mitrovic,Jugoslawien (SFR),Serbia
Alan Pulido,Mexico,Mexico
Dalei Wang,China,China
Saad Al-Sheeb,Qatar,Qatar
Moez Ben Cherifia,Tunisia,Tunisia
Pavel Kaderabek,Czech Republic,Czech Republic
Matías Vecino,Uruguay,Uruguay
Leandro Trossard,Belgium,Belgium
Bartosz Bereszynski,Poland,Poland
Robert Kirss,Estonia,Estonia
Aleksandar Scekic,Jugoslawien (SFR),Montenegro
Risto Radunovic,Yugoslavia (Republic),Montenegro
Omar Gaber,Egypt,Egypt
Ovays Azizi,Afghanistan,Afghanistan
Valon Berisha,Sweden,Kosovo
Afriyie Acquah,Ghana,Ghana
Danilo,Brazil,Brazil
Trent Sainsbury,Australia,Australia
Wilfried Zaha,Cote d'Ivoire,Cote d'Ivoire
Michael Foster,Papua New Guinea,Papua New Guinea
Koriag Upaiga,Papua New Guinea,Papua New Guinea
Wataru Endo,Japan,Japan
Tomas Koubek,Czech Republic,Czech Republic
Tafadzwa Rusike,Zimbabwe,Zimbabwe
Ryan Fraser,Scotland,Scotland
Wissam Ben Yedder,France,France
Signori Antonio,Switzerland,Angola
Yvon Mvogo,Cameroon,Switzerland
Alexander Callens,Peru,Peru
Louis Schaub,Germany,Austria
Petr Sevcik,Czech Republic,Czech Republic
Alexander González,Venezuela,Venezuela
Zheng Zheng,China,China
Serge-Junior Martinsson Ngouali,Sweden,Gabon
Remo Freuler,Switzerland,Switzerland
Christian Nörgaard,Denmark,Denmark
Nicolae Stanciu,Romania,Romania
Mohamed Salah,Egypt,Egypt
Jerry Bengtson,Honduras,Honduras
Tomas Kalas,Czech Republic,Czech Republic
Endre Botka,Hungary,Hungary
Xi Wu,China,China
Saliou Ciss,Senegal,Senegal
Bryan Dabo,France,Burkina Faso
Tarek Hamed,Egypt,Egypt
Stefan Mugoša,Jugoslawien (SFR),Montenegro
Nicola Kollmann,Liechtenstein,Liechtenstein
Lorenzo Lo Russo,,Liechtenstein
Miha Zajc,Slovenia,Slovenia
Tim Payne,New Zealand,New Zealand
Hafiz Sujad,Singapore,Singapore
Zulfahmi Arifin,Singapore,Singapore
Hólmbert Aron Fridjónsson,Iceland,Iceland
Yasir Hanapi,Singapore,Singapore
Izwan Mahbud,Singapore,Singapore
Miao Tang,China,China
Madhu Mohana,Singapore,Singapore
Nazrul Nazari,Singapore,Singapore
Gabriel Quak,Singapore,Singapore
Xizhe Zhang,China,China
Elvis Stuglis,Latvia,Latvia
Shahdan Sulaiman,Singapore,Singapore
Zaiful Nizam,Singapore,Singapore
Gojko Cimirot,Bosnia-Herzegovina,Bosnia-Herzegovina
Frédéric Mendy,France,Guinea-Bissau
Tautvydas Eliosius,Lithuania,Lithuania
Nika Kvekveskiri,Georgia,Georgia
Nikola Vukcevic,Jugoslawien (SFR),Montenegro
Arturs Zjuzins,UdSSR,Latvia
Ahmed Ali,Somalia,Somalia
Abdelatif Al Bahdari,Palästina,Palästina
Chul Hong,"Korea, South","Korea, South"
Besar Halimi,Germany,Kosovo
Shin-wook Kim,"Korea, South","Korea, South"
Leon Goretzka,Germany,Germany
Antony Silva,Paraguay,Paraguay
Davis Ikaunieks,Latvia,Latvia
Yaya Kerim,Chad,Chad
John Raphael Bocco,Tanzania,Tanzania
Kelvin Yondani,,Tanzania
Kurt Frederick,St. Lucia,St. Lucia
Romain Métanire,France,Madagascar
Mogakolodi Ngele,Botsuana,Botsuana
Zaine Pierre,St. Lucia,St. Lucia
Pernal Williams,St. Lucia,St. Lucia
Mahamat Labbo,Chad,Chad
Robin Ngalande,Malawi,Malawi
Mechack Jérôme,Haiti,Haiti
Sharif Mukhammad,UdSSR,Afghanistan
Varazdat Haroyan,Armenia,Armenia
Kamo Hovhannisyan,Armenia,Armenia
Salman Al-Faraj,Saudi Arabia,Saudi Arabia
Qara Qarayev,Azerbaijan,Azerbaijan
Víctor Bernat,,Andorra
Tae-hwan Kim,"Korea, South","Korea, South"
Valeri Qazaishvili,Georgia,Georgia
Felipe,Brazil,Brazil
Frank Fabra,Colombia,Colombia
Matt Whichelow,England,Montserrat
Marcelo Brozovic,Croatia,Croatia
Andreas Malin,Austria,Liechtenstein
Marko Petkovic,Yugoslavia (Republic),Serbia
Tyias Browning,England,China
Marco Friedl,Austria,Austria
Roderick Miller,Panama,Panama
Solomon Kvirkvelia,Georgia,Georgia
Michael Hector,England,Jamaica
Kurt Zouma,France,France
Andreas Bouchalakis,Greece,Greece
Konstantinos Fortounis,Greece,Greece
Yussuf Poulsen,Denmark,Denmark
Vladimir Coufal,CSSR,Czech Republic
Doneil Henry,Canada,Canada
Moisés Hernández,United States,Guatemala
Long Tan,China,China
Luís Leal,Portugal,Sao Tome and Principe
Sebastien Thill,Luxembourg,Luxembourg
Gaël Bigirimana,Burundi,Burundi
Stuart Dallas,Northern Ireland,Northern Ireland
Daniel Schmidt,United States,Japan
Thomas Vermaelen,Belgium,Belgium
Marcis Oss,Latvia,Latvia
Arlind Ajeti,Switzerland,Albania
Serge Gnabry,Germany,Germany
Alfredo Aguilar,Paraguay,Paraguay
Virgil Vries,Namibia,Namibia
Uros Spajic,Yugoslavia (Republic),Serbia
Reice Charles-Cook,England,Grenada
Mohamed Elneny,Egypt,Egypt
Gagame Feni,,Solomon Islands
Joshua Kimmich,Germany,Germany
Eddi Gomes,Guinea-Bissau,Guinea-Bissau
David Simbo,Sierra Leone,Sierra Leone
Limbikani Mzava,Malawi,Malawi
Jacques Tuyisenge,Rwanda,Rwanda
William Jebor,Liberia,Liberia
Josef Martínez,Venezuela,Venezuela
Anastasios Bakasetas,Greece,Greece
Thabani Kamusoko,Zimbabwe,Zimbabwe
Jarchinio Antonia,Netherlands,Curacao
Dénes Dibusz,Hungary,Hungary
Mame Thiam,Senegal,Senegal
Casemiro,Brazil,Brazil
Alfred Gomis,Senegal,Senegal
Wilfried Kanon,Cote d'Ivoire,Cote d'Ivoire
Laurent Jans,Luxembourg,Luxembourg
Eli Dasa,Israel,Israel
Constantin Budescu,Romania,Romania
Mohamed M'Changama,France,Comoros
Gen Shoji,Japan,Japan
Abdulrahman Ghareeb,,Saudi Arabia
Raphaël Varane,France,France
Ali M'Madi,France,Comoros
Yimmi Chará,Colombia,Colombia
Lloyd Palun,France,Gabon
Berat Djimsiti,Switzerland,Albania
Takumi Minamino,Japan,Japan
Kosuke Nakamura,Japan,Japan
Davit Khocholava,Georgia,Georgia
Samuela Drudru,,Fiji
Tutizama Tanito,,Solomon Islands
Emmanuel Poila,,Solomon Islands
Jean-Philippe Saiko,Neukaledonien,Neukaledonien
Moisés San Nicolás,Andorra,Andorra
Roberto Lopes,Ireland,Cape Verde
Marko Vukcevic,Yugoslavia (Republic),Montenegro
Leandro Paredes,Argentina,Argentina
Roman Zobnin,Russia,Russia
Cédric Amissi,Burundi,Burundi
Hadisi Aengari,,Solomon Islands
Joses Nawo,,Solomon Islands
Salif Kéïta,Central African Republic,Central African Republic
Niklas Süle,Germany,Germany
Daniel Brändle,Liechtenstein,Liechtenstein
Philipp Ospelt,Germany,Liechtenstein
Bogdan Vastsuk,Estonia,Estonia
Kuca,Cape Verde,Cape Verde
Paddy McNair,Northern Ireland,Northern Ireland
Martynas Dapkus,Lithuania,Lithuania
Edvinas Girdvainis,Lithuania,Lithuania
Karolis Laukzemis,Lithuania,Lithuania
Youssouf M'Changama,France,Comoros
Dan Spataru,Moldova,Moldova
Henritse Eninful,Togo,Togo
Pavel Savitskiy,Belarus,Belarus
Yuri Zhirkov,UdSSR,Russia
Andrea Belotti,Italy,Italy
Pierre-Emile Höjbjerg,Denmark,Denmark
Memphis Depay,Netherlands,Netherlands
Donatas Kazlauskas,Lithuania,Lithuania
Filip Mladenovic,Jugoslawien (SFR),Serbia
Ádám Lang,Hungary,Hungary
Leander Dendoncker,Belgium,Belgium
Minas Antoniou,Cyprus,Cyprus
Lubomir Satka,Slovakia,Slovakia
Silvan Widmer,Switzerland,Switzerland
Daniel Johnson,Jamaica,Jamaica
Kasper Schmeichel,Denmark,Denmark
Luka Zahovic,Portugal,Slovenia
Reece Styche,England,Gibraltar
Giovanni Di Lorenzo,Italy,Italy
Jonathan Williams,England,Wales
Marcel Tisserand,France,DR Congo
Devis Epassy,France,Cameroon
Jean-Daniel Akpa Akpro,France,Cote d'Ivoire
Timo Werner,Germany,Germany
Vyacheslav Karavaev,Russia,Russia
Ludwig Augustinsson,Sweden,Sweden
Andre Poko,Gabon,Gabon
Tamarley Thomas,Antigua and Barbuda,Antigua and Barbuda
Steeve Yago,France,Burkina Faso
Mario Lemina,Gabon,Gabon
Stéphane Bahoken,France,Cameroon
Raphaël Guerreiro,France,Portugal
Quinton Griffith,Antigua and Barbuda,Antigua and Barbuda
Leo Stulac,Slovenia,Slovenia
Andria,Madagascar,Madagascar
Ricardo Campos,Portugal,Mozambique
Abdelkarim Hassan,Qatar,Qatar
Riyad Mahrez,France,Algeria
Yousef Al Salman,Kuwait,Kuwait
Matt Doherty,Ireland,Ireland
Adam Taggart,Australia,Australia
Veaceslav Posmac,UdSSR,Moldova
Adel Al Hosani,,United Arab Emirates
Yasser Al-Shahrani,Saudi Arabia,Saudi Arabia
Woo-young Jung,"Korea, South","Korea, South"
Baldomero Perlaza,Colombia,Colombia
Bill Tuiloma,New Zealand,New Zealand
Manuel Neuer,Germany,Germany
Baha'a Abdulrahman,Jordan,Jordan
Hamza Al-Daradreh,Jordan,Jordan
Moataz Yaseen,,Jordan
Gurpreet Singh Sandhu,India,India
Abdulwahab Al Malood,,Bahrain
Rashed Al Hooti,,Bahrain
Nahki Wells,Bermuda,Bermuda
Joel Pohjanpalo,Finland,Finland
Zarek Valentin,United States,Puerto Rico
Robin Lod,Finland,Finland
Ahmad Ibrahim Khalaf,Iraq,Iraq
Jamie Maclaren,Australia,Australia
Fahad Al Ansari,Kuwait,Kuwait
Emery Nimubona,Burundi,Burundi
Damjan Bohar,Slovenia,Slovenia
Nino Kouter,Slovenia,Slovenia
Omar Colley,The Gambia,The Gambia
Islam Slimani,Algeria,Algeria
Youcef Belaïli,Algeria,Algeria
Teddy Akumu,Kenya,Kenya
Issama Mpeko,Zaire,DR Congo
Óscar Duarte,Nicaragua,Costa Rica
Josué Quijano,Nicaragua,Nicaragua
Azzedine Doukha,Algeria,Algeria
Ronwen Williams,South Africa,South Africa
Storm Roux,South Africa,New Zealand
Ernesto,Spain,Thailand
Brad Smith,Australia,Australia
Sebastian Lletget,United States,United States
Hardy Binguila,Congo,Congo
Aymeric Laporte,France,Spain
Chico,Mozambique,Mozambique
Felipe Mora,Chile,Chile
Gerard Moreno,Spain,Spain
Boris Klaiman,UdSSR,Israel
Nathan Aké,Netherlands,Netherlands
Andrew Setefano,,Samoa
Emery Bayisenge,Rwanda,Rwanda
Eric Nsabimana,Rwanda,Rwanda
Justin Mico,Rwanda,Rwanda
Rómulo Otero,Venezuela,Venezuela
Miguel Trauco,Peru,Peru
Mitchell Duke,Australia,Australia
César Zeoula,Neukaledonien,Neukaledonien
Domenico Berardi,Italy,Italy
Mica Pinto,Luxembourg,Luxembourg
Harry Maguire,England,England
Ollie Norburn,England,Grenada
Victor Kamhuka,Zimbabwe,Zimbabwe
Yusupha Njie,The Gambia,The Gambia
Daryl Horgan,Ireland,Ireland
Jean Evrard Kouassi,Cote d'Ivoire,Cote d'Ivoire
Daniel Soungole,Cote d'Ivoire,Niger
Michael Krmencik,Czech Republic,Czech Republic
Shakir Hamzah,Singapore,Singapore
Faris Ramli,Singapore,Singapore
Aron Elís Thrándarson,Iceland,Iceland
Fábio Lima,Brazil,United Arab Emirates
Michy Batshuayi,Belgium,Belgium
Moataz Al Mehdi,,Libya
Curtis Good,Australia,Australia
Vladimir Darida,CSSR,Czech Republic
Hugo Lloris,France,France
Andraz Sporar,Slovenia,Slovenia
Temurkhuzha Abdukholikov,Uzbekistan,Uzbekistan
Sardar Azmoun,Iran,Iran
Brian Sylvestre,United States,Haiti
Pavel Marin,Estonia,Estonia
Tomasz Kedziora,Poland,Poland
Piotr Zielinski,Poland,Poland
Salim Ablo,,Libya
Lawrence Thomas,Australia,Australia
Sébastien Haller,France,Cote d'Ivoire
Jure Balkovec,Slovenia,Slovenia
Thievy Bifouma,France,Congo
Rolando Blackburn,Panama,Panama
Marquinhos,Brazil,Brazil
Emerson,Brazil,Italy
Kwang-ryong Pak,"Korea, North","Korea, North"
Sebastián Pérez,Colombia,Colombia
Emmanuel Okwi,Uganda,Uganda
Mbwana Samatta,Tanzania,Tanzania
Anssi Jaakkola,Finland,Finland
Badra Ali Sangaré,Cote d'Ivoire,Cote d'Ivoire
Kevin Ray Mendoza,Denmark,Philippines
Quincy Promes,Netherlands,Netherlands
Manolis Siopis,Greece,Greece
Jean-Charles Castelletto,France,Cameroon
Stéphane Lambese,France,Haiti
Clément Lenglet,France,France
Mike Maignan,French Guiana,France
Adrien Rabiot,France,France
Davy Klaassen,Netherlands,Netherlands
Luke Shaw,England,England
Callum Robinson,England,Ireland
Boris Cespedes,Bolivia,Bolivia
Kevin Mbabu,Switzerland,Switzerland
Kento Hashimoto,Japan,Japan
Michael Kempter,Switzerland,Philippines
Ronald Mukiibi,Sweden,Uganda
Émile Béaruné,Neukaledonien,Neukaledonien
Petar Stojanovic,Slovenia,Slovenia
Nebojsa Kosovic,Yugoslavia (Republic),Montenegro
Naïm Sliti,France,Tunisia
Emil Krafth,Sweden,Sweden
Victor Lindelöf,Sweden,Sweden
Kalifa Coulibaly,Mali,Mali
Litsepe Marabe,,Lesotho
Georgiy Dzhikiya,Russia,Russia
Basia Makepe,,Lesotho
Ryan Samuelu,,American Samoa
Michael Boso,,Solomon Islands
Dennis Ifunaoa,,Solomon Islands
Brian Kaltak,Vanuatu,Vanuatu
Rocky Nyikeine,,Neukaledonien
Nigel Dabinyaba,,Papua New Guinea
Alwin Komolong,Papua New Guinea,Papua New Guinea
Malakai Rakula,,Fiji
Jacob Sabua,,Papua New Guinea
Emmanuel Simon,,Papua New Guinea
Igor Sergeev,Uzbekistan,Uzbekistan
Bandar Mohamed,,United Arab Emirates
Florin Iacob,Romania,Romania
Mohamed Farouk,,Egypt
Wbeymar Angulo,Colombia,Armenia
Bobby Reid,England,Jamaica
Giorgi Kvilitaia,Georgia,Georgia
Stephen O'Donnell,Scotland,Scotland
Valentino Lazaro,Austria,Austria
Alexander Schlager,Austria,Austria
Jakub Hromada,Slovakia,Slovakia
John Stones,England,England
Mohamed Elyounoussi,Morocco,Norway
Giorgi Aburjania,Georgia,Georgia
Enzo Roco,Chile,Chile
Marek Rodak,Slovakia,Slovakia
Budu Zivzivadze,Georgia,Georgia
